week,block,workout_day_name,focus,exercise_order,source_pdf_page,exercise_name,exercise_video_url,substitution_option_1,substitution_option_1_video_url,substitution_option_2,substitution_option_2_video_url,last_set_intensity_technique,warmup_sets,working_sets,reps,early_set_rpe,last_set_rpe,rest,notes
1,Foundation Block,Upper,Strength Focus,1,4,45° Incline Barbell Press,https://www.youtube.com/watch?v=vqQ9ok0dEgk,45° Incline DB Press,https://www.youtube.com/watch?v=p2t9daxLpB8,45° Incline Machine Press,https://youtu.be/b8fYnZ-usP0,N/A,2-3,2,6-8,~6-7,~7-8,3-5 min,1 second pause at the bottom of each rep while maintaining tension on the pecs
1,Foundation Block,Upper,Strength Focus,2,4,Cable Crossover Ladder,https://youtu.be/0TP9kVcWGic?si=5lWdSFfUA27mop9-,Pec Deck,https://youtu.be/CI88L1VNvEs?si=UjPZ3Ep5QaYBM5rC,Bottom-Half DB Flye,https://youtu.be/qJzc-iHKGdg?si=GGd61Dr4uoDUI9b6,N/A,1-2,2,8-10,~7-8,~8-9,1-2 min,"Do one set with low cable position, one set with medium-height cable position, and one height with a high cable position. If you only have one or two sets, choose the one or two cable positions you prefer."
1,Foundation Block,Upper,Strength Focus,3,4,Wide-Grip Pull-Up,https://youtu.be/yGnp0HU8BnA?si=g9lS7YfxwnBQ5gbR,Wide-Grip Lat Pulldown,https://youtu.be/IYXRrYXfVLc?si=8eUNzIQ9o7Y-XpSp,Dual-Handle Lat Pulldown,https://youtu.be/NwQ5Ch5t5Vk?si=JHztlva6LI2NPBDC,N/A,1-2,2,8-10,~6-7,~7-8,2-3 min,1.5x shoulder width overhand grip. Slow 2-3 second negative. Feel your lats pulling apart on the way down.
1,Foundation Block,Lower,Strength Focus,1,5,Nordic Ham Curl,https://youtu.be/fzpYiRtzmFA?si=M3BGSywSskWqGRnE,Seated Leg Curl,https://youtu.be/yv0aAY7M1mk?si=Z1Cx7ih-vWTSTqq-,Lying Leg Curl,https://youtu.be/sX4tGtcc62k?si=mparE5f2nb9KfXPl,N/A,2,2,8-10,~7-8,~8-9,1-2 min,Set the machine so that you get the biggest stretch possible at the bottom. Prevent your butt from popping up as you curl.
1,Foundation Block,Pull,Hypertrophy Focus,1,6,Neutral-Grip Lat Pulldown,https://youtu.be/lA4_1F9EAFU?si=5Bh19rDwBplX5QUz,Neutral-Grip Pull- Up,https://youtu.be/b0ypSz63UGo?si=dMxuJGtxkR4jnUbb,Dual-Handle Lat Pulldown,https://youtu.be/NwQ5Ch5t5Vk?si=JHztlva6LI2NPBDC,N/A,2-3,2,8-10,~6-7,~7-8,2-3 min,"Do these pulldowns with the handle more out in front of you, more like a cross between pullover and a pulldown. Focus on feeling your lats working more than the weight you're using."
1,Foundation Block,Push,Hypertrophy Focus,1,7,Barbell Bench Press,https://youtu.be/nQL5ieH39sw?si=RjZSWBZ3CGKg-pax,Machine Chest Press,https://youtu.be/zDecGJLyVm8?si=VF-70ajNWU4cDHEV,DB Bench Press,https://youtu.be/zGXvPjlgVkk?si=sTJq1mF8qaCapYbx,N/A,2-4,2,8-10,~6-7,~7-8,3-5 min,"Set up a comfortable arch, quick pause on the chest and explode up on each rep."
1,Foundation Block,Legs,Hypertrophy Focus,1,8,Seated Leg Curl,https://youtu.be/Jwg3l2W7-LM?si=5UGxNPBBu1JgxdRp,Lying Leg Curl,https://youtu.be/sX4tGtcc62k?si=mparE5f2nb9KfXPl,Nordic Ham Curl,https://youtu.be/fzpYiRtzmFA?si=M3BGSywSskWqGRnE,N/A,2-3,2,8-10,~6-7,~7-8,1-2 min,Adjust the seat back so that your knees line up with the axis of rotation of the machine.
